Model,AUROC,F1,Precision,Recall,AUC-PR
XGBoost (balanced),0.6769,0.2784,0.1798,0.6159,0.2237
Random Forest (balanced),0.6606,0.0094,0.4583,0.0048,0.2122
Lr Adjusted (balanced),0.639,0.2559,0.1692,0.5247,0.1905
Lr Adjusted (smote),0.6355,0.0009,0.1667,0.0004,0.1914
Random Forest (smote),0.6043,0.0094,0.55,0.0048,0.1694
Neural Network (smote),0.5926,0.2264,0.1425,0.5506,0.1623
Lr Restricted (balanced),0.5866,0.229,0.1424,0.5843,0.145
XGBoost (smote),0.5759,0.0747,0.2199,0.045,0.1512
Lr Restricted (smote),0.5747,0.0,0.0,0.0,0.1415
Neural Network (balanced),0.5332,0.2004,0.1303,0.4338,0.1606
